Temperature,Ramp,TP,PO2,Flow,Plow,Move,TPS,TPPO,Dramp,Dplateau,Delbow,IntegralTerm,Delay,Anticipation,T over,T under,Calibration,T over,T under,Sample,
900,300,100,,500,0.05,0,7900,10960,0.6,3,3,-85,,0.1,,,,,,,Si wafer
895,300,100,,500,0.05,0,7800,10950,0.6,3,3,-85,,0.1,,,,,,,Si wafer
880,300,100,,500,0.05,0,7750,10200,1.6,1,3,-100,,0.7,9,-4,722,10,-5,723,
870,300,100,,500,0.05,0,7500,10150,1.6,2,3,-95,,0.9,,,,,,,
860,300,100,,500,0.05,0,7350,10050,1.6,2,4,-85,,0.8,12,5,729,,,,
850,300,100,,500,0.05,0,7325,9650,1.6,2,5,-85,,0.9,,,,,,,
840,300,100,,500,0.05,0,7300,9600,1.6,2,5,-85,,1,8,-2,731,,,,
960,300,35,10,500,0.05,0,8100,10999,0.6,3,4,-100,,0.1,,,,,,Gd,Si wafer
950,300,35,9,500,0.05,0,7980,10900,0.6,2,5,-100,,0.1,,,,,,Gd,Si wafer
940,300,35,7,500,0.05,0,7880,10800,0.6,2,4,-100,,0.1,,,,,,Gd,Si wafer
930,300,35,5,500,0.05,0,7780,10750,0.6,2,5,-100,,0.1,,,,,,,Si wafer
920,300,35,4,500,0.05,0,7700,10700,0.6,2,5,-100,,0.1,,,,,,Gd,Si wafer
910,300,35,4,500,0.05,0,7600,10600,0.6,2,4,-85,,0.1,,,,,,Y,Si wafer
900,300,35,3.5,500,0.05,0,7500,10500,0.6,1,5,-100,,0.1,,,,,,Y,Si wafer
890,300,35,3,500,0.05,0,7400,10400,0.6,1,5,-100,,0.1,6,3,906,,,Y,Si wafer
880,300,35,2,500,0.05,0,7300,10300,0.6,2,5,-100,,0.1,3,5,899,,,Y,Si wafer
870,300,35,2,500,0.05,0,7200,10200,0.6,2,5,-100,,0.1,,,,,,Y,Si wafer
860,300,35,,500,0.05,0,7100,10100,0.6,1,5,-75,,0.1,,,,,,,
850,300,35,,500,0.05,0,7000,10000,0.6,1,5,-85,,0.1,7,3,896,,,Y,
840,300,35,,500,0.05,0,7300,9380,1.6,2,4,-85,,0.3,8,-2,731,,,,
830,300,35,,500,0.05,0,7250,9600,0.6,5,4,-100,,0.3,,,,,,,
880,300,100,,500,0.05,100,7750,10000,1.6,1,3,-100,0.5,,,,,,,,
870,300,100,,500,0.05,100,7550,9850,1.6,1,3,-85,,,,,,,,,
860,300,100,,500,0.05,100,7350,9750,1.6,1,4,-85,,,,,,,,,
850,300,100,,500,0.05,100,7325,9600,1.6,2,4,-75,,,,,,,,,
840,300,100,,500,0.05,100,7300,9500,1.6,2,4,-75,0.5,,,,,,,,
880,300,35,,500,0.05,100,7750,9380,1.6,5,7,-60,2.3,,,,,,,,
870,300,35,,500,0.05,100,7650,9250,2,5,9,-60,2.3,,,,,,,,
861,300,35,,500,0.05,100,7400,9225,2,6,8,-60,2.3,,,,,,,,
850,300,35,,500,0.05,100,7350,9200,2,6,8,-60,2.3,,,,,,,,
840,300,35,,500,0.05,100,7302,9150,2,7,9,-60,2.3,,,,,,,,
885,300,100,,500,0.05,0,7800,10200,1.6,1,3,-100,,0.7,,,,,,,
886,300,100,,500,0.05,0,7800,10250,1.6,4,3,-100,,1,,,,,,,
889,300,100,,500,0.05,0,7900,10375,1.6,3,3.2,-90,,1,,,,,,,
891,300,100,,500,0.05,0,7875,10250,1.6,3,4,-100,,0.55,,,,,,,
900,300,100,,500,0.05,0,7950,10400,1.6,3,4,-100,,0.55,,,,,,,
903,300,100,,500,0.05,0,7975,10400,1.6,3,4,-100,,0.55,,,,,,,
910,300,100,,500,0.05,0,8010,10475,1.6,3,4,-100,,0.45,,,,,,,
920,300,100,,500,0.05,0,8060,10555,1.6,3,4,-100,,0.5,,,,,,,
889.1,300,100,,500,0.05,0,7875,10250,1.6,2.5,3,-100,,0.6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
871,300,35,3,500,0.05,0,7250,10600,0.6,4,3,-100,,0.1,,,,,,TAPE ROX,Si wafer
850,300,35,2,500,0.05,0,7150,10585,0.6,3,2,-100,,0.1,,,,,,TAPE ROX,Si wafer
